Date,State,day_care_closed,restaurants_closed,gyms_closed,movie_theatres_closed,bars_closed,casinos_closed,schools_closed,nusring_home_visits_banned
7/30/2020,AZ,0,0,1,1,1,0,1,0
5/21/2020,WY,0,1,0,1,1,0,1,0
4/19/2020,ND,0,1,1,1,1,0,1,0
4/8/2020,OR,1,1,1,1,1,0,1,1
5/7/2020,ME,0,1,1,1,1,0,1,0
5/28/2020,CA,0,1,1,1,1,0,1,0
5/22/2020,RI,1,1,1,1,1,1,0,1
4/10/2020,KY,1,1,1,1,1,0,1,0
5/26/2020,DC,0,1,1,1,1,0,1,0
7/21/2020,IL,0,0,0,0,0,0,1,0
4/27/2020,AZ,0,1,1,1,1,0,1,0
4/15/2020,VA,0,1,1,1,1,0,1,0
4/28/2020,MT,0,1,1,1,1,1,1,1
7/17/2020,AL,0,0,0,0,0,0,1,1
4/5/2020,MS,0,0,0,0,0,1,1,0
7/30/2020,LA,0,0,0,0,1,0,1,1
5/20/2020,MD,1,1,1,1,1,1,1,1
5/2/2020,CA,0,1,1,1,1,0,1,0
5/1/2020,NJ,1,1,1,1,1,1,1,0
7/14/2020,MI,0,0,1,1,0,1,1,1
7/22/2020,MO,0,0,0,1,0,0,1,1
5/30/2020,OR,1,1,1,1,1,0,1,1
7/12/2020,WY,0,0,0,0,0,0,1,0
4/29/2020,AZ,0,1,1,1,1,0,1,0
4/3/2020,IN,0,1,0,0,1,1,1,0
4/20/2020,IN,0,1,1,1,1,1,1,0
4/13/2020,CT,0,1,1,1,1,0,1,1
4/15/2020,MD,1,1,1,1,1,1,1,0
4/30/2020,MS,0,1,1,1,1,1,1,1
5/4/2020,NH,0,1,1,1,1,0,1,1
5/7/2020,VT,1,1,1,1,1,0,1,1
5/15/2020,VT,1,1,1,1,1,0,1,1
5/28/2020,CT,0,1,1,1,1,0,1,1
5/12/2020,IN,0,1,1,1,1,1,1,0
4/1/2020,VA,0,0,0,0,0,0,1,0
4/22/2020,LA,0,1,1,1,1,1,1,1
5/29/2020,WA,0,1,1,1,1,0,1,1
5/1/2020,MS,0,1,1,1,1,1,1,1
7/30/2020,DE,0,0,0,0,0,0,1,0
4/16/2020,MT,0,1,1,1,1,1,1,1
5/26/2020,CT,0,1,1,1,1,0,1,1
7/16/2020,LA,0,0,0,0,0,0,1,1
4/11/2020,CA,0,1,1,1,1,0,1,0
5/7/2020,MO,0,1,1,1,1,1,1,1
5/24/2020,NE,0,1,1,1,1,0,1,0
5/14/2020,NE,0,1,1,1,1,0,1,0
5/13/2020,WA,0,1,1,1,1,0,1,1
5/19/2020,CT,0,1,1,1,1,0,1,1
4/30/2020,DE,1,1,1,1,1,1,1,0
4/1/2020,MT,0,0,0,0,0,0,1,1
5/13/2020,RI,1,1,1,1,1,1,0,1
5/27/2020,MO,0,0,0,1,0,1,1,1
7/21/2020,MO,0,0,0,1,0,0,1,1
7/8/2020,NH,0,0,0,1,0,0,1,1
4/26/2020,WY,1,1,1,1,1,0,1,0
4/27/2020,ID,0,1,1,1,1,0,1,0
7/30/2020,ME,0,0,0,0,0,0,1,0
5/9/2020,IL,1,1,1,1,1,1,1,0
4/6/2020,ND,0,1,1,1,1,0,1,0
7/18/2020,ND,0,0,0,0,0,0,1,1
5/2/2020,AL,1,1,1,1,1,1,1,1
4/21/2020,SC,0,1,1,1,1,1,1,1
4/1/2020,LA,0,1,1,1,1,1,1,1
4/23/2020,MD,1,1,1,1,1,1,1,1
4/28/2020,VA,0,1,1,1,1,0,1,0
5/18/2020,AL,1,1,1,1,1,1,1,1
7/27/2020,CA,0,1,1,1,1,0,1,0
4/11/2020,LA,0,1,1,1,1,1,1,1
5/15/2020,AZ,0,1,1,1,1,0,1,0
5/23/2020,DE,1,1,1,1,1,1,1,0
4/15/2020,ND,0,1,1,1,1,0,1,0
4/5/2020,OR,0,1,0,0,1,0,1,1
4/27/2020,ME,0,1,1,1,1,0,1,0
7/8/2020,NC,0,0,1,1,1,0,1,1
5/9/2020,RI,1,1,1,1,1,1,0,1
5/2/2020,LA,0,1,1,1,1,1,1,1
7/21/2020,KY,0,0,0,0,0,0,1,0
7/26/2020,MI,0,0,1,1,0,1,1,1
5/2/2020,VT,1,1,1,1,1,0,1,1
4/30/2020,MD,1,1,1,1,1,1,1,1
5/29/2020,MO,0,0,0,1,0,1,1,1
5/29/2020,CA,0,1,1,1,1,0,1,0
4/26/2020,CT,0,1,1,1,1,0,1,1
7/19/2020,NE,0,0,1,0,0,0,1,0
5/6/2020,LA,0,1,1,1,1,1,1,1
5/7/2020,TN,0,1,1,1,1,0,1,1
5/24/2020,AL,1,1,1,1,1,1,1,1
7/2/2020,WI,0,0,0,0,0,0,1,0
4/22/2020,WA,0,1,1,1,1,0,1,1
5/14/2020,MO,0,1,1,1,1,1,1,1
4/5/2020,MN,0,1,1,1,1,0,1,0
4/11/2020,NE,0,0,0,0,0,0,0,0
4/4/2020,ND,0,1,1,1,1,0,1,0
4/26/2020,MI,1,1,1,1,1,1,1,1
